"id","bug.id","treatment","temp.avg","temp.var","hs.temp","hs.num","date.died","date.hatch","date.ovp","time.ovp","num.ovp","suc.ovp","date.3","mass.3","date.in.hs","time.in.hs","time.hs","time.ths1.ovp","date.out.hs","time.out.hs","date.4","mass.4","date.5","mass.5","date.em","instar.em","bled.em","mass.48em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","num.unem","load","count.onlymat2","date.end","mass.end","mongo.age","mongo.mass","instar.end","diss.wasp","diss.wasp.stage","num.mat2","mel","wand","pup","mass.wand","date.wand","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.em.j","date.ecl.j","date.end.j","date.wand.j","died","time.ovp.dec","time.in.hs.dec","time.hs.dec","time.ths1.ovp.dec","time.out.hs.dec","hr.hs","day.hs","tt3","inst3","tt4","inst4","tt5","ttem","ttend","ttwand","ttem.w","ttecl","dt.coc","tot.surv","perc.em","stsp.ecl","mass.end.all","class","ttend.all"
414,"25.10_para_40.4_414","para",25,10,"40","4",NA,"2/16/18","2/20/18",12:05:00,1,NA,"2/20/18",45.29,"2/20/18",12:06:00,13:00:00,00:55:00,"2/23/18",22:00:00,"2/24/18",233.86,"3/2/18",1106.73,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/16/18",3653.77,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,47,51,51,51,54,55,61,0,NA,75,NA,0,12.0833333333333,12.1,13,0.916666666666667,22,81.9,3.4125,4,4,8,6,14,NA,28,NA,NA,NA,NA,NA,NA,NA,3653.77,"mongo",28
64,"25.10_para_42.1_64","para",25,10,"42","1",NA,"1/28/18","2/2/18",10:57:00,1,NA,"2/2/18",47.38,"2/2/18",11:07:00,13:00:00,02:03:00,"2/2/18",19:10:00,"2/6/18",171.47,"2/11/18",725.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"2/25/18",1426.88,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. cuticle removed from 5th prolegs after molt to 4th and 5th. bled during molt to 4th.",NA,0,28,33,33,33,33,37,42,0,NA,56,NA,0,10.95,11.1166666666667,13,2.05,19.1666666666667,8.05,0.335416666666667,5,4,9,5,14,NA,28,NA,NA,NA,NA,NA,NA,NA,1426.88,"mongo",28
40,"25.10_para_42.1_40","para",25,10,"42","1",NA,"1/28/18","2/2/18",11:01:00,1,NA,"2/2/18",55.72,"2/2/18",11:07:00,13:00:00,01:59:00,"2/2/18",19:10:00,"2/6/18",302.05,"2/11/18",1401.94,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"2/25/18",2572.94,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"horn bled at ovp. mass 4 taken in pm",NA,0,28,33,33,33,33,37,42,0,NA,56,NA,0,11.0166666666667,11.1166666666667,13,1.98333333333333,19.1666666666667,8.05,0.335416666666667,5,4,9,5,14,NA,28,NA,NA,NA,NA,NA,NA,NA,2572.94,"mongo",28
98,"25.10_para_42.1_98","para",25,10,"42","1",NA,"1/28/18","2/3/18",10:58:00,1,NA,"2/3/18",43.82,"2/3/18",11:00:00,13:00:00,02:02:00,"2/3/18",18:05:00,"2/6/18",124.92,"2/11/18",1099.07,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"2/25/18",1788.19,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,34,34,34,34,37,42,0,NA,56,NA,0,10.9666666666667,11,13,2.03333333333333,18.0833333333333,7.08333333333333,0.295138888888889,6,3,9,5,14,NA,28,NA,NA,NA,NA,NA,NA,NA,1788.19,"mongo",28
318,"25.10_para_42.1_318","para",25,10,"42","1",NA,"2/15/18","2/19/18",11:02:00,1,NA,"2/19/18",40.54,"2/19/18",11:05:00,13:00:00,01:58:00,"2/19/18",19:22:00,"2/24/18",246.56,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/14/18",747.76,1,0,4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,46,50,50,50,50,55,NA,0,NA,73,NA,0,11.0333333333333,11.0833333333333,13,1.96666666666667,19.3666666666667,8.28333333333333,0.345138888888889,4,5,9,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,747.76,"mongo",27
344,"25.10_para_42.1_344","para",25,10,"42","1",NA,"2/15/18","2/20/18",10:17:00,1,NA,"2/20/18",53.95,"2/20/18",10:45:00,13:00:00,02:43:00,"2/20/18",20:05:00,"2/25/18",271.12,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,53,53,NA,"3/14/18",807.54,1,0,4,1,"1",0,0,0,NA,NA,NA,"horn damaged during ovp. mass 4 taken in pm","various sized 1sts, ranging from just hatched to easily visible with naked eye. Most deformed. no 2nds. one large egg with unhatched larvae",0,46,51,51,51,51,56,NA,0,NA,73,NA,0,10.2833333333333,10.75,13,2.71666666666667,20.0833333333333,9.33333333333333,0.388888888888889,5,5,10,NA,NA,NA,27,NA,NA,NA,NA,NA,0,NA,807.54,"mongo",27
115,"25.10_para_42.1_115","para",25,10,"42","1",NA,"1/28/18","2/6/18",09:45:00,1,NA,"2/6/18",55.97,"2/6/18",09:56:00,13:00:00,03:15:00,"2/6/18",21:00:00,"2/9/18",216.22,"2/13/18",1027.32,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"2/27/18",1771.12,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 5 taken in pm",NA,0,28,37,37,37,37,40,44,0,NA,58,NA,0,9.75,9.93333333333333,13,3.25,21,11.0666666666667,0.461111111111111,9,3,12,4,16,NA,30,NA,NA,NA,NA,NA,NA,NA,1771.12,"mongo",30
238,"25.10_para_42.2_238","para",25,10,"42","2",NA,"2/9/18","2/16/18",09:42:00,1,NA,"2/16/18",37.92,"2/16/18",09:43:00,13:00:00,03:18:00,"2/17/18",19:10:00,"2/19/18",158.6,"2/23/18",698.71,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/9/18",3334.13,1,0,6,NA,NA,NA,NA,0,NA,NA,NA,"mass 5 taken in pm. molted into 6th 3/6/18, mass= 2885.19. removed cuticle from 4th proleg during molt to 6th.",NA,0,40,47,47,47,48,50,54,0,NA,68,NA,0,9.7,9.71666666666667,13,3.3,19.1666666666667,33.45,1.39375,7,3,10,4,14,NA,28,NA,NA,NA,NA,NA,NA,NA,3334.13,"mongo",28
392,"25.10_para_42.2_392","para",25,10,"42","2",NA,"2/16/18","2/20/18",11:28:00,1,NA,"2/20/18",58.88,"2/20/18",11:32:00,13:00:00,01:32:00,"2/21/18",20:22:00,"2/27/18",144.07,"3/7/18",386.99,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/21/18",4421.74,1,0,6,0,NA,NA,1,0,NA,NA,NA,"mass 4 taken in pm. removed cuticle from 5th proleg after molt to 4th. molted to 6th instar 3/17/18. Mass: 1313.73","found very clear plaques, no sign of wasp larvae, did not notice any teratocytes",0,47,51,51,51,52,58,66,0,NA,80,NA,0,11.4666666666667,11.5333333333333,13,1.53333333333333,20.3666666666667,32.8333333333333,1.36805555555556,4,7,11,8,19,NA,33,NA,NA,NA,NA,NA,NA,NA,4421.74,"mongo",33
501,"25.10_para_42.2_501","para",25,10,"42","2",NA,"3/11/18","3/15/18",11:10:00,1,NA,"3/15/18",53.64,"3/15/18",11:21:00,13:00:00,01:50:00,"3/16/18",18:54:00,"3/19/18",370.95,"3/24/18",2249.28,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"4/7/18",15600.84,1,1,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,70,74,74,74,75,78,83,0,NA,97,NA,0,11.1666666666667,11.35,13,1.83333333333333,18.9,31.55,1.31458333333333,4,4,8,5,13,NA,27,NA,NA,NA,NA,NA,NA,NA,15600.84,"mongo",27
294,"25.10_para_42.2_294","para",25,10,"42","2",NA,"2/15/18","2/19/18",11:16:00,1,NA,"2/19/18",39.91,"2/19/18",11:23:00,13:00:00,01:44:00,"2/20/18",20:05:00,"2/24/18",154.23,"2/28/18",969.7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/14/18",1893.86,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 5 taken in pm",NA,0,46,50,50,50,51,55,59,0,NA,73,NA,0,11.2666666666667,11.3833333333333,13,1.73333333333333,20.0833333333333,32.7,1.3625,4,5,9,4,13,NA,27,NA,NA,NA,NA,NA,NA,NA,1893.86,"mongo",27
74,"25.10_para_42.2_74","para",25,10,"42","2",NA,"1/28/18","2/2/18",11:27:00,1,NA,"2/2/18",57.97,"2/2/18",11:36:00,13:00:00,01:33:00,"2/3/18",18:05:00,"2/5/18",294.82,"2/10/18",1622.42,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"2/24/18",15792.77,1,1,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,33,33,33,34,36,41,0,NA,55,NA,0,11.45,11.6,13,1.55,18.0833333333333,30.4833333333333,1.27013888888889,5,3,8,5,13,NA,27,NA,NA,NA,NA,NA,NA,NA,15792.77,"mongo",27
311,"25.10_para_42.2_311","para",25,10,"42","2",NA,"2/15/18","2/19/18",11:19:00,1,NA,"2/19/18",38.65,"2/19/18",11:23:00,13:00:00,01:41:00,"2/20/18",20:05:00,"2/23/18",442.28,"2/27/18",1663.54,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/13/18",11866.19,1,0,5,0,NA,NA,0,0,NA,NA,NA,"mass 4 and 5 taken in pm","no sign of wasps, eggs or teratocytes. a few diffuse plaques",0,46,50,50,50,51,54,58,0,NA,72,NA,0,11.3166666666667,11.3833333333333,13,1.68333333333333,20.0833333333333,32.7,1.3625,4,4,8,4,12,NA,26,NA,NA,NA,NA,NA,NA,NA,11866.19,"mongo",26
76,"25.10_para_42.3_76","para",25,10,"42","3",NA,"1/28/18","2/2/18",11:54:00,1,NA,"2/2/18",55.12,"2/2/18",12:08:00,13:00:00,01:06:00,"2/4/18",19:30:00,"2/5/18",246.1,"2/11/18",1921.63,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"2/25/18",13639.42,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,33,33,33,35,36,42,0,NA,56,NA,0,11.9,12.1333333333333,13,1.1,19.5,55.3666666666667,2.30694444444444,5,3,8,6,14,NA,28,NA,NA,NA,NA,NA,NA,NA,13639.42,"mongo",28
385,"25.10_para_42.3_385","para",25,10,"42","3",NA,"2/16/18","2/20/18",10:25:00,2,NA,"2/20/18",43.78,"2/20/18",10:45:00,13:00:00,02:35:00,"2/22/18",20:45:00,"2/25/18",202.23,"3/1/18",856.76,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/15/18",11931.14,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 5 taken in pm",NA,0,47,51,51,51,53,56,60,0,NA,74,NA,0,10.4166666666667,10.75,13,2.58333333333333,20.75,58,2.41666666666667,4,5,9,4,13,NA,27,NA,NA,NA,NA,NA,NA,NA,11931.14,"mongo",27
408,"25.10_para_42.3_408","para",25,10,"42","3",NA,"2/16/18","2/20/18",11:44:00,1,NA,"2/20/18",45.84,"2/20/18",11:44:00,13:00:00,01:16:00,"2/22/18",20:45:00,"2/23/18",168.29,"3/4/18",623.73,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/18/18",896.33,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm. removed head capsule after molt to 5th. mouth parts hardened poorly--may not be able to eat",NA,0,47,51,51,51,53,54,63,0,NA,77,NA,0,11.7333333333333,11.7333333333333,13,1.26666666666667,20.75,57.0166666666667,2.37569444444444,4,3,7,9,16,NA,30,NA,NA,NA,NA,NA,NA,NA,896.33,"mongo",30
513,"25.10_para_42.3_513","para",25,10,"42","3",NA,"3/11/18","3/16/18",08:14:00,1,NA,"3/16/18",40.62,"3/16/18",08:15:00,13:00:00,04:46:00,"3/18/18",18:20:00,"3/19/18",202.04,"3/23/18",1061.97,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"4/6/18",13638.75,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"horn damaged at ovp. mass 4 and 5 taken in pm",NA,0,70,75,75,75,77,78,82,0,NA,96,NA,0,8.23333333333333,8.25,13,4.76666666666667,18.3333333333333,58.0833333333333,2.42013888888889,5,3,8,4,12,NA,26,NA,NA,NA,NA,NA,NA,NA,13638.75,"mongo",26
242,"25.10_para_42.3_242","para",25,10,"42","3",NA,"2/14/18","2/19/18",11:26:00,2,NA,"2/19/18",76.94,"2/19/18",11:40:00,13:00:00,01:34:00,"2/21/18",20:22:00,"2/22/18",153.28,"3/1/18",650.47,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/15/18",12864.69,1,0,6,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm. molted to 6th instar 3/7/18. Mass: 3061.35",NA,0,45,50,50,50,52,53,60,0,NA,74,NA,0,11.4333333333333,11.6666666666667,13,1.56666666666667,20.3666666666667,56.7,2.3625,5,3,8,7,15,NA,29,NA,NA,NA,NA,NA,NA,NA,12864.69,"mongo",29
320,"25.10_para_42.3_320","para",25,10,"42","3",NA,"2/15/18","2/19/18",11:38:00,1,NA,"2/19/18",37.89,"2/19/18",11:40:00,13:00:00,01:22:00,"2/21/18",20:22:00,"2/23/18",222.62,"2/27/18",1239.97,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/13/18",12755.43,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,46,50,50,50,52,54,58,0,NA,72,NA,0,11.6333333333333,11.6666666666667,13,1.36666666666667,20.3666666666667,56.7,2.3625,4,4,8,4,12,NA,26,NA,NA,NA,NA,NA,NA,NA,12755.43,"mongo",26
151,"25.10_para_42.4_151","para",25,10,"42","4",NA,"2/7/18","2/12/18",09:58:00,2,NA,"2/12/18",65.9,"2/12/18",10:30:00,13:00:00,03:02:00,"2/15/18",20:10:00,"2/15/18",347.16,"2/19/18",1750.34,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/5/18",17378.26,1,1,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm.",NA,0,38,43,43,43,46,46,50,0,NA,64,NA,0,9.96666666666667,10.5,13,3.03333333333333,20.1666666666667,81.6666666666667,3.40277777777778,5,3,8,4,12,NA,26,NA,NA,NA,NA,NA,NA,NA,17378.26,"mongo",26
29,"25.10_para_42.4_29","para",25,10,"42","4",NA,"1/28/18","2/2/18",12:31:00,1,NA,"2/2/18",68.76,"2/2/18",12:35:00,13:00:00,00:29:00,"2/5/18",19:20:00,"2/5/18",177.59,"2/9/18",640.31,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"2/23/18",8899.95,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,28,33,33,33,36,36,40,0,NA,54,NA,0,12.5166666666667,12.5833333333333,13,0.483333333333333,19.3333333333333,78.75,3.28125,5,3,8,4,12,NA,26,NA,NA,NA,NA,NA,NA,NA,8899.95,"mongo",26
198,"25.10_para_42.4_198","para",25,10,"42","4",NA,"2/9/18","2/14/18",08:06:00,1,NA,"2/14/18",44.78,"2/14/18",08:10:00,13:00:00,04:54:00,"2/17/18",19:10:00,"2/17/18",230.16,"2/21/18",980.14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/7/18",12168.42,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,40,45,45,45,48,48,52,0,NA,66,NA,0,8.1,8.16666666666667,13,4.9,19.1666666666667,83,3.45833333333333,5,3,8,4,12,NA,26,NA,NA,NA,NA,NA,NA,NA,12168.42,"mongo",26
259,"25.10_para_42.4_259","para",25,10,"42","4",NA,"2/14/18","2/19/18",10:35:00,1,NA,"2/19/18",55.27,"2/19/18",10:50:00,13:00:00,02:25:00,"2/22/18",20:45:00,"2/23/18",337.29,"2/28/18",1503.01,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"3/14/18",14742.52,1,1,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,45,50,50,50,53,54,59,0,NA,73,NA,0,10.5833333333333,10.8333333333333,13,2.41666666666667,20.75,81.9166666666667,3.41319444444444,5,4,9,5,14,NA,28,NA,NA,NA,NA,NA,NA,NA,14742.52,"mongo",28
498,"25.10_para_42.4_498","para",25,10,"42","4",NA,"3/11/18","3/15/18",08:33:00,2,NA,"3/15/18",52.16,"3/15/18",08:35:00,13:00:00,04:27:00,"3/19/18",18:40:00,"3/19/18",394.26,"3/25/18",1038.79,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"4/8/18",2331.79,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,70,74,74,74,78,78,84,0,NA,98,NA,0,8.55,8.58333333333333,13,4.45,18.6666666666667,106.083333333333,4.42013888888889,4,4,8,6,14,NA,28,NA,NA,NA,NA,NA,NA,NA,2331.79,"mongo",28
458,"25.10_para_42.4_458","para",25,10,"42","4",NA,"3/8/18","3/12/18",11:33:00,1,NA,"3/12/18",44.31,"3/12/18",11:46:00,13:00:00,01:27:00,"3/15/18",20:17:00,"3/16/18",244.71,"3/23/18",1095.15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"4/6/18",9433.73,1,0,5,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,67,71,71,71,74,75,82,0,NA,96,NA,0,11.55,11.7666666666667,13,1.45,20.2833333333333,80.5166666666667,3.35486111111111,4,4,8,7,15,NA,29,NA,NA,NA,NA,NA,NA,NA,9433.73,"mongo",29
